t, thrust, h, dh, ddh
0, 0, 0, 0, 0
0, 20, 0, 1.019, 10.19
0.1, 20, 0.1019, 2.038, 10.19
0.2, 20, 0.3057, 3.057, 10.19
0.3, 20, 0.6114, 4.076, 10.19
0.4, 20, 1.019, 5.095, 10.19
0.5, 20, 1.5285, 6.114, 10.19
0.6, 20, 2.1399, 7.133, 10.19
0.7, 20, 2.8532, 8.152, 10.19
0.8, 20, 3.6684, 9.171, 10.19
0.9, 20, 4.5855, 10.19, 10.19
1, 20, 5.6045, 11.209, 10.19
1.1, 20, 6.7254, 12.228, 10.19
1.2, 20, 7.9482, 13.247, 10.19
1.3, 20, 9.2729, 14.266, 10.19
1.4, 20, 10.6995, 15.285, 10.19
1.5, 20, 12.228, 16.304, 10.19
1.6, 20, 13.8584, 17.323, 10.19
1.7, 20, 15.5907, 18.342, 10.19
1.8, 20, 17.4249, 19.361, 10.19
1.9, 20, 19.361, 20.38, 10.19
2, 20, 21.399, 21.399, 10.19
2.1, 20, 23.5389, 22.418, 10.19
2.2, 20, 25.7807, 23.437, 10.19
2.3, 20, 28.1244, 24.456, 10.19
2.4, 20, 30.57, 25.475, 10.19
2.5, 20, 33.1175, 26.494, 10.19
2.6, 20, 35.7669, 27.513, 10.19
2.7, 20, 38.5182, 28.532, 10.19
2.8, 20, 41.3714, 29.551, 10.19
2.9, 20, 44.3265, 30.57, 10.19
3, 20, 47.3835, 31.589, 10.19
3.1, 20, 50.5424, 32.608, 10.19
3.2, 20, 53.8032, 33.627, 10.19
3.3, 20, 57.1659, 34.646, 10.19
3.4, 20, 60.6305, 35.665, 10.19
3.5, 20, 64.197, 36.684, 10.19
3.6, 20, 67.8654, 37.703, 10.19
3.7, 20, 71.6357, 38.722, 10.19
3.8, 20, 75.5079, 39.741, 10.19
3.9, 20, 79.482, 40.76, 10.19
4, 20, 83.558, 41.779, 10.19
4.1, 20, 87.7359, 42.798, 10.19
4.2, 20, 92.0157, 43.817, 10.19
4.3, 20, 96.3974, 44.836, 10.19
4.4, 20, 100.881, 45.855, 10.19
4.5, 20, 105.467, 46.874, 10.19
4.6, 20, 110.154, 47.893, 10.19
4.7, 20, 114.943, 48.912, 10.19
4.8, 20, 119.834, 49.931, 10.19
4.9, 20, 124.828, 50.95, 10.19
5, 20, 129.923, 51.969, 10.19
5.1, 20, 135.119, 52.988, 10.19
5.2, 20, 140.418, 54.007, 10.19
5.3, 20, 145.819, 55.026, 10.19
5.4, 20, 151.322, 56.045, 10.19
5.5, 20, 156.926, 57.064, 10.19
5.6, 20, 162.632, 58.083, 10.19
5.7, 20, 168.441, 59.102, 10.19
5.8, 20, 174.351, 60.121, 10.19
5.9, 20, 180.363, 61.14, 10.19
6, 20, 186.477, 62.159, 10.19
6.1, 20, 192.693, 63.178, 10.19
6.2, 20, 199.011, 64.197, 10.19
6.3, 20, 205.43, 65.216, 10.19
6.4, 20, 211.952, 66.235, 10.19
6.5, 20, 218.576, 67.254, 10.19
6.6, 20, 225.301, 68.273, 10.19
6.7, 20, 232.128, 69.292, 10.19
6.8, 20, 239.057, 70.311, 10.19
6.9, 20, 246.089, 71.33, 10.19
7, 20, 253.222, 72.349, 10.19
7.1, 20, 260.456, 73.368, 10.19
7.2, 20, 267.793, 74.387, 10.19
7.3, 20, 275.232, 75.406, 10.19
7.4, 20, 282.773, 76.425, 10.19
7.5, 20, 290.415, 77.444, 10.19
7.6, 20, 298.159, 78.463, 10.19
7.7, 20, 306.006, 79.482, 10.19
7.8, 20, 313.954, 80.501, 10.19
7.9, 20, 322.004, 81.52, 10.19
8, 20, 330.156, 82.539, 10.19
8.1, 20, 338.41, 83.558, 10.19
8.2, 20, 346.766, 84.577, 10.19
8.3, 20, 355.223, 85.596, 10.19
8.4, 20, 363.783, 86.615, 10.19
8.5, 20, 372.445, 87.634, 10.19
8.6, 20, 381.208, 88.653, 10.19
8.7, 20, 390.073, 89.672, 10.19
8.8, 20, 399.04, 90.691, 10.19
8.9, 20, 408.11, 91.71, 10.19
9, 20, 417.281, 92.729, 10.19
9.1, 20, 426.553, 93.748, 10.19
9.2, 20, 435.928, 94.767, 10.19
9.3, 20, 445.405, 95.786, 10.19
9.4, 20, 454.984, 96.805, 10.19
9.5, 20, 464.664, 97.824, 10.19
9.6, 20, 474.446, 98.843, 10.19
9.7, 20, 484.331, 99.862, 10.19
9.8, 20, 494.317, 100.881, 10.19
9.9, 20, 504.405, 101.9, 10.19
10, 0, 514.595, 100.919, -9.81
10.1, 0, 524.687, 99.938, -9.81
